ITC,TATACOMM,TATAGLOBAL,TATAMTRDVR,TATACOFFEE,TATAMOTORS
395.7,405.1,155.55,365.75,93.8,564.4
399.7,403.15,153.5,365.75,92.85,568.2
395.65,395.85,152.55,350.2,90.9,560.65
393.7,399.15,156.05,359,94.75,575.15
361.35,398.1,154.9,373.7,94.1,593.35
343.25,422.6,158.35,369.55,94.05,585
341.55,429.25,163.55,367,101.65,574.1
344.25,423.15,158.35,362.6,96.2,574.1
346.25,427.5,159.3,354.9,98.75,570.7
338.35,414.5,159.05,342.75,98.15,565.1
338.55,422.05,157.25,343.7,96.95,560.2
338.2,427.95,157.85,339.65,96,550.9
346.65,430.35,160,344,97.65,563.9
339.4,423.8,154.85,337.6,95.4,558.35
335.4,421.3,154.75,338.95,94.8,556.9
340,429.75,156.7,345.8,94.35,571.55
336.65,438.2,155.85,339.9,93.95,560.2
333.35,429.05,153.85,336.65,93.3,553.8
327.45,421.15,149.95,327.35,91.3,547.6
327.4,422.45,147.2,321.5,90.15,551.45
326.55,415.4,147.95,312.8,92.15,532.25
326.75,406.45,149,316.15,89.65,541.85
322.4,403.85,147.3,308.75,89.55,524.25
317.5,405.45,145.75,316.5,90,535.35
327.55,414.9,149.75,324.4,90.95,540
325.85,422,148.8,331.55,90.6,550.2
332.45,426.05,151.1,338.05,93,564.9
341,423.6,151.45,341.45,92.05,568.15
340.6,422.2,151.1,342.95,92.1,560.35
346.25,429.3,151.6,345.4,92.6,561.5
347.15,453.2,152.05,343.4,93.15,559.9
346.65,450.85,161.2,351.1,95.75,562.65
351.5,463.85,161.5,354.65,96.3,556.25
354.95,491.4,158.95,344.15,93.6,540.45
350.1,482.65,159.3,348.9,93.25,541.25
351.85,474.5,157.55,340.5,92.5,535.35
341.9,456.95,153.25,328.75,90.45,533.2
341.95,453.1,150.2,327.65,90.05,527.4
343.4,452.95,149.65,328.1,89.6,523.5
342.1,451.7,150.2,319.15,89.65,512
343.8,440.95,147.25,319.95,88.1,516.2
347.95,436.3,142.15,315.95,86.8,516.85
344.85,444.55,141.95,322.5,87.85,529.85
337.55,434.45,142.55,318.45,88.05,520.9
328.15,435.45,142.1,310.7,87.85,508.25
322.35,439.8,143.55,312.25,89.05,506.45
330.2,442.45,144.55,315.75,89.45,510.45
326.25,439.6,139.8,304.9,87.7,497.85
